Instruction,tp
PREFETCH_EXCLUSIVE (M512),0.25
PREFETCHW (M512),0.25
"AESDEC (XMM, M128)",1.0
"AESDEC (XMM, XMM)",1.0
"AESDECLAST (XMM, M128)",1.0
"AESDECLAST (XMM, XMM)",1.0
"AESENC (XMM, M128)",1.0
"AESENC (XMM, XMM)",1.0
"AESENCLAST (XMM, M128)",1.0
"AESENCLAST (XMM, XMM)",1.0
"AESIMC (XMM, M128)",2.0
"AESIMC (XMM, XMM)",2.0
"AESKEYGENASSIST (XMM, M128, I8)",7.78
"AESKEYGENASSIST (XMM, XMM, I8)",8.46
"VADDPD (XMM, XMM, M128)",1.0
"VADDPD (XMM, XMM, XMM)",1.0
"VADDPD (YMM, YMM, M256)",1.0
"VADDPD (YMM, YMM, YMM)",1.0
"VADDPS (XMM, XMM, M128)",1.0
"VADDPS (XMM, XMM, XMM)",1.0
"VADDPS (YMM, YMM, M256)",1.0
"VADDPS (YMM, YMM, YMM)",1.0
"VADDSD (XMM, XMM, M64)",1.0
"VADDSD (XMM, XMM, XMM)",1.0
"VADDSS (XMM, XMM, M32)",1.0
"VADDSS (XMM, XMM, XMM)",1.0
"VADDSUBPD (XMM, XMM, M128)",1.0
"VADDSUBPD (XMM, XMM, XMM)",1.0
"VADDSUBPD (YMM, YMM, M256)",1.0
"VADDSUBPD (YMM, YMM, YMM)",1.0
"VADDSUBPS (XMM, XMM, M128)",1.0
"VADDSUBPS (XMM, XMM, XMM)",1.0
"VADDSUBPS (YMM, YMM, M256)",1.0
"VADDSUBPS (YMM, YMM, YMM)",1.0
"VANDNPD (XMM, XMM, M128)",1.0
"VANDNPD (XMM, XMM, XMM)",1.0
"VANDNPD (YMM, YMM, M256)",1.0
"VANDNPD (YMM, YMM, YMM)",1.0
"VANDNPS (XMM, XMM, M128)",1.0
"VANDNPS (XMM, XMM, XMM)",1.0
"VANDNPS (YMM, YMM, M256)",1.0
"VANDNPS (YMM, YMM, YMM)",1.0
"VANDPD (XMM, XMM, M128)",1.0
"VANDPD (XMM, XMM, XMM)",1.0
"VANDPD (YMM, YMM, M256)",1.0
"VANDPD (YMM, YMM, YMM)",1.0
"VANDPS (XMM, XMM, M128)",1.0
"VANDPS (XMM, XMM, XMM)",1.0
"VANDPS (YMM, YMM, M256)",1.0
"VANDPS (YMM, YMM, YMM)",1.0
"VBLENDPD (XMM, XMM, M128, I8)",0.5
"VBLENDPD (XMM, XMM, XMM, I8)",0.33
"VBLENDPD (YMM, YMM, M256, I8)",0.5
"VBLENDPD (YMM, YMM, YMM, I8)",0.33
"VBLENDPS (XMM, XMM, M128, I8)",0.5
"VBLENDPS (XMM, XMM, XMM, I8)",0.33
"VBLENDPS (YMM, YMM, M256, I8)",0.5
"VBLENDPS (YMM, YMM, YMM, I8)",0.33
"VBLENDVPD (XMM, XMM, M128, XMM)",2.0
"VBLENDVPD (XMM, XMM, XMM, XMM)",2.0
"VBLENDVPD (YMM, YMM, M256, YMM)",2.0
"VBLENDVPD (YMM, YMM, YMM, YMM)",2.0
"VBLENDVPS (XMM, XMM, M128, XMM)",2.0
"VBLENDVPS (XMM, XMM, XMM, XMM)",2.0
"VBLENDVPS (YMM, YMM, M256, YMM)",2.0
"VBLENDVPS (YMM, YMM, YMM, YMM)",2.0
"VBROADCASTF128 (YMM, M128)",0.5
"VBROADCASTSD (YMM, M64)",0.5
"VBROADCASTSS (XMM, M32)",0.5
"VBROADCASTSS (YMM, M32)",0.5
"VCMPPD (XMM, XMM, M128, I8)",1.0
"VCMPPD (XMM, XMM, XMM, I8)",1.0
"VCMPPD (YMM, YMM, M256, I8)",1.0
"VCMPPD (YMM, YMM, YMM, I8)",1.0
"VCMPPS (XMM, XMM, M128, I8)",1.0
"VCMPPS (XMM, XMM, XMM, I8)",1.0
"VCMPPS (YMM, YMM, M256, I8)",1.0
"VCMPPS (YMM, YMM, YMM, I8)",1.0
"VCMPSD (XMM, XMM, M64, I8)",1.0
"VCMPSD (XMM, XMM, XMM, I8)",1.0
"VCMPSS (XMM, XMM, M32, I8)",1.0
"VCMPSS (XMM, XMM, XMM, I8)",1.0
"VCOMISD (XMM, M64)",1.0
"VCOMISD (XMM, XMM)",1.0
"VCOMISS (XMM, M32)",1.0
"VCOMISS (XMM, XMM)",1.0
"VCVTDQ2PD (XMM, M64)",1.0
"VCVTDQ2PD (XMM, XMM)",1.0
"VCVTDQ2PD (YMM, M128)",1.0
"VCVTDQ2PD (YMM, XMM)",1.0
"VCVTDQ2PS (XMM, M128)",1.0
"VCVTDQ2PS (XMM, XMM)",1.0
"VCVTDQ2PS (YMM, M256)",1.0
"VCVTDQ2PS (YMM, YMM)",1.0
"VCVTPD2DQ (XMM, M128)",1.0
"VCVTPD2DQ (XMM, M256)",1.0
"VCVTPD2DQ (XMM, XMM)",1.0
"VCVTPD2DQ (XMM, YMM)",1.0
"VCVTPD2PS (XMM, M128)",1.0
"VCVTPD2PS (XMM, M256)",1.0
"VCVTPD2PS (XMM, XMM)",1.0
"VCVTPD2PS (XMM, YMM)",1.0
"VCVTPS2DQ (XMM, M128)",1.0
"VCVTPS2DQ (XMM, XMM)",1.0
"VCVTPS2DQ (YMM, M256)",1.0
"VCVTPS2DQ (YMM, YMM)",1.0
"VCVTPS2PD (XMM, M64)",1.0
"VCVTPS2PD (XMM, XMM)",1.0
"VCVTPS2PD (YMM, M128)",1.0
"VCVTPS2PD (YMM, XMM)",1.0
"VCVTSD2SI (R32, M64)",1.0
"VCVTSD2SI (R32, XMM)",1.0
"VCVTSD2SI (R64, M64)",1.0
"VCVTSD2SI (R64, XMM)",1.0
"VCVTSD2SS (XMM, XMM, M64)",1.0
"VCVTSD2SS (XMM, XMM, XMM)",1.0
"VCVTSI2SD (XMM, XMM, M32)",1.0
"VCVTSI2SD (XMM, XMM, M64)",1.0
"VCVTSI2SD (XMM, XMM, R32)",1.0
"VCVTSI2SD (XMM, XMM, R64)",1.0
"VCVTSI2SS (XMM, XMM, M32)",1.0
"VCVTSI2SS (XMM, XMM, M64)",1.0
"VCVTSI2SS (XMM, XMM, R32)",1.0
"VCVTSI2SS (XMM, XMM, R64)",2.0
"VCVTSS2SD (XMM, XMM, M32)",1.0
"VCVTSS2SD (XMM, XMM, XMM)",1.0
"VCVTSS2SI (R32, M32)",1.0
"VCVTSS2SI (R32, XMM)",1.0
"VCVTSS2SI (R64, M32)",1.0
"VCVTSS2SI (R64, XMM)",1.0
"VCVTTPD2DQ (XMM, M128)",1.0
"VCVTTPD2DQ (XMM, M256)",1.0
"VCVTTPD2DQ (XMM, XMM)",1.0
"VCVTTPD2DQ (XMM, YMM)",1.0
"VCVTTPS2DQ (XMM, M128)",1.0
"VCVTTPS2DQ (XMM, XMM)",1.0
"VCVTTPS2DQ (YMM, M256)",1.0
"VCVTTPS2DQ (YMM, YMM)",1.0
"VCVTTSD2SI (R32, M64)",1.0
"VCVTTSD2SI (R32, XMM)",1.0
"VCVTTSD2SI (R64, M64)",1.0
"VCVTTSD2SI (R64, XMM)",1.0
"VCVTTSS2SI (R32, M32)",1.0
"VCVTTSS2SI (R32, XMM)",1.0
"VCVTTSS2SI (R64, M32)",1.0
"VCVTTSS2SI (R64, XMM)",1.0
"VDIVPD (XMM, XMM, M128)",8.0
"VDIVPD (XMM, XMM, XMM)",8.02
"VDIVPD (YMM, YMM, M256)",16.22
"VDIVPD (YMM, YMM, YMM)",16.12
"VDIVPS (XMM, XMM, M128)",7.0
"VDIVPS (XMM, XMM, XMM)",7.02
"VDIVPS (YMM, YMM, M256)",14.11
"VDIVPS (YMM, YMM, YMM)",14.0
"VDIVSD (XMM, XMM, M64)",8.0
"VDIVSD (XMM, XMM, XMM)",8.02
"VDIVSS (XMM, XMM, M32)",7.0
"VDIVSS (XMM, XMM, XMM)",7.03
"VDPPD (XMM, XMM, M128, I8)",1.0
"VDPPD (XMM, XMM, XMM, I8)",1.0
"VDPPS (XMM, XMM, M128, I8)",4.0
"VDPPS (XMM, XMM, XMM, I8)",2.0
"VDPPS (YMM, YMM, M256, I8)",4.0
"VDPPS (YMM, YMM, YMM, I8)",2.0
"VEXTRACTF128 (M128, YMM, I8)",1.0
"VEXTRACTF128 (XMM, YMM, I8)",1.0
"VEXTRACTPS (M32, XMM, I8)",1.0
"VEXTRACTPS (R32, XMM, I8)",1.0
"VHADDPD (XMM, XMM, M128)",2.0
"VHADDPD (XMM, XMM, XMM)",2.0
"VHADDPD (YMM, YMM, M256)",2.0
"VHADDPD (YMM, YMM, YMM)",2.0
"VHADDPS (XMM, XMM, M128)",2.0
"VHADDPS (XMM, XMM, XMM)",2.0
"VHADDPS (YMM, YMM, M256)",2.0
"VHADDPS (YMM, YMM, YMM)",2.0
"VHSUBPD (XMM, XMM, M128)",2.0
"VHSUBPD (XMM, XMM, XMM)",2.0
"VHSUBPD (YMM, YMM, M256)",2.0
"VHSUBPD (YMM, YMM, YMM)",2.0
"VHSUBPS (XMM, XMM, M128)",2.0
"VHSUBPS (XMM, XMM, XMM)",2.0
"VHSUBPS (YMM, YMM, M256)",2.0
"VHSUBPS (YMM, YMM, YMM)",2.0
"VINSERTF128 (YMM, YMM, M128, I8)",0.5
"VINSERTF128 (YMM, YMM, XMM, I8)",1.0
"VINSERTPS (XMM, XMM, M32, I8)",1.0
"VINSERTPS (XMM, XMM, XMM, I8)",1.0
"VLDDQU (XMM, M128)",0.5
"VLDDQU (YMM, M256)",0.5
VLDMXCSR (M32),2.25
"VMASKMOVDQU (XMM, XMM)",6.0
"VMASKMOVPD (M128, XMM, XMM)",1.0
"VMASKMOVPD (M256, YMM, YMM)",1.0
"VMASKMOVPD (XMM, XMM, M128)",2.0
"VMASKMOVPD (YMM, YMM, M256)",2.0
"VMASKMOVPS (M128, XMM, XMM)",1.0
"VMASKMOVPS (M256, YMM, YMM)",1.0
"VMASKMOVPS (XMM, XMM, M128)",2.0
"VMASKMOVPS (YMM, YMM, M256)",2.0
"VMAXPD (XMM, XMM, M128)",1.0
"VMAXPD (XMM, XMM, XMM)",1.0
"VMAXPD (YMM, YMM, M256)",1.0
"VMAXPD (YMM, YMM, YMM)",1.0
"VMAXPS (XMM, XMM, M128)",1.0
"VMAXPS (XMM, XMM, XMM)",1.0
"VMAXPS (YMM, YMM, M256)",1.0
"VMAXPS (YMM, YMM, YMM)",1.0
"VMAXSD (XMM, XMM, M64)",1.0
"VMAXSD (XMM, XMM, XMM)",1.0
"VMAXSS (XMM, XMM, M32)",1.0
"VMAXSS (XMM, XMM, XMM)",1.0
"VMINPD (XMM, XMM, M128)",1.0
"VMINPD (XMM, XMM, XMM)",1.0
"VMINPD (YMM, YMM, M256)",1.0
"VMINPD (YMM, YMM, YMM)",1.0
"VMINPS (XMM, XMM, M128)",1.0
"VMINPS (XMM, XMM, XMM)",1.0
"VMINPS (YMM, YMM, M256)",1.0
"VMINPS (YMM, YMM, YMM)",1.0
"VMINSD (XMM, XMM, M64)",1.0
"VMINSD (XMM, XMM, XMM)",1.0
"VMINSS (XMM, XMM, M32)",1.0
"VMINSS (XMM, XMM, XMM)",1.0
"VMOVAPD (M128, XMM)",1.0
"VMOVAPD (M256, YMM)",1.0
"VMOVAPD (XMM, M128)",0.5
"VMOVAPD (YMM, M256)",0.5
"VMOVAPD_28 (XMM, XMM)",0.56
"VMOVAPD_28 (YMM, YMM)",0.56
"VMOVAPD_29 (XMM, XMM)",0.56
"VMOVAPD_29 (YMM, YMM)",0.56
"VMOVAPS (M128, XMM)",1.0
"VMOVAPS (M256, YMM)",1.0
"VMOVAPS (XMM, M128)",0.5
"VMOVAPS (YMM, M256)",0.5
"VMOVAPS_28 (XMM, XMM)",0.56
"VMOVAPS_28 (YMM, YMM)",0.56
"VMOVAPS_29 (XMM, XMM)",0.56
"VMOVAPS_29 (YMM, YMM)",0.56
"VMOVD (M32, XMM)",1.0
"VMOVD (R32, XMM)",1.0
"VMOVD (XMM, M32)",0.5
"VMOVD (XMM, R32)",1.0
"VMOVDDUP (XMM, M64)",0.5
"VMOVDDUP (XMM, XMM)",1.0
"VMOVDDUP (YMM, M256)",0.5
"VMOVDDUP (YMM, YMM)",1.0
"VMOVDQA (M128, XMM)",1.0
"VMOVDQA (M256, YMM)",1.0
"VMOVDQA (XMM, M128)",0.5
"VMOVDQA (YMM, M256)",0.5
"VMOVDQA_6F (XMM, XMM)",0.25
"VMOVDQA_6F (YMM, YMM)",0.25
"VMOVDQA_7F (XMM, XMM)",0.25
"VMOVDQA_7F (YMM, YMM)",0.25
"VMOVDQU (M128, XMM)",1.0
"VMOVDQU (M256, YMM)",1.0
"VMOVDQU (XMM, M128)",0.5
"VMOVDQU (YMM, M256)",0.5
"VMOVDQU_6F (XMM, XMM)",0.25
"VMOVDQU_6F (YMM, YMM)",0.25
"VMOVDQU_7F (XMM, XMM)",0.25
"VMOVDQU_7F (YMM, YMM)",0.25
"VMOVHLPS (XMM, XMM, XMM)",1.0
"VMOVHPD (M64, XMM)",1.0
"VMOVHPD (XMM, XMM, M64)",1.0
"VMOVHPS (M64, XMM)",1.0
"VMOVHPS (XMM, XMM, M64)",1.0
"VMOVLHPS (XMM, XMM, XMM)",1.0
"VMOVLPD (M64, XMM)",1.0
"VMOVLPD (XMM, XMM, M64)",1.0
"VMOVLPS (M64, XMM)",1.0
"VMOVLPS (XMM, XMM, M64)",1.0
"VMOVMSKPD (R32, XMM)",1.0
"VMOVMSKPD (R32, YMM)",1.0
"VMOVMSKPS (R32, XMM)",1.0
"VMOVMSKPS (R32, YMM)",1.0
"VMOVNTDQ (M128, XMM)",1.0
"VMOVNTDQ (M256, YMM)",1.0
"VMOVNTDQA (XMM, M128)",0.5
"VMOVNTPD (M128, XMM)",1.0
"VMOVNTPD (M256, YMM)",1.0
"VMOVNTPS (M128, XMM)",1.0
"VMOVNTPS (M256, YMM)",1.0
"VMOVQ (M64, XMM)",1.0
"VMOVQ (R64, XMM)",1.0
"VMOVQ (XMM, M64)",0.5
"VMOVQ (XMM, R64)",1.0
"VMOVQ_7E (XMM, XMM)",0.33
"VMOVQ_D6 (XMM, XMM)",0.33
"VMOVSD (M64, XMM)",1.0
"VMOVSD (XMM, M64)",0.5
"VMOVSD_10 (XMM, XMM, XMM)",1.0
"VMOVSD_11 (XMM, XMM, XMM)",1.0
"VMOVSHDUP (XMM, M128)",0.5
"VMOVSHDUP (XMM, XMM)",1.0
"VMOVSHDUP (YMM, M256)",0.5
"VMOVSHDUP (YMM, YMM)",1.0
"VMOVSLDUP (XMM, M128)",0.5
"VMOVSLDUP (XMM, XMM)",1.0
"VMOVSLDUP (YMM, M256)",0.5
"VMOVSLDUP (YMM, YMM)",1.0
"VMOVSS (M32, XMM)",1.0
"VMOVSS (XMM, M32)",0.5
"VMOVSS_10 (XMM, XMM, XMM)",1.0
"VMOVSS_11 (XMM, XMM, XMM)",1.0
"VMOVUPD (M128, XMM)",1.0
"VMOVUPD (M256, YMM)",1.0
"VMOVUPD (XMM, M128)",0.5
"VMOVUPD (YMM, M256)",0.5
"VMOVUPD_10 (XMM, XMM)",0.56
"VMOVUPD_10 (YMM, YMM)",0.56
"VMOVUPD_11 (XMM, XMM)",0.56
"VMOVUPD_11 (YMM, YMM)",0.56
"VMOVUPS (M128, XMM)",1.0
"VMOVUPS (M256, YMM)",1.0
"VMOVUPS (XMM, M128)",0.5
"VMOVUPS (YMM, M256)",0.5
"VMOVUPS_10 (XMM, XMM)",0.56
"VMOVUPS_10 (YMM, YMM)",0.56
"VMOVUPS_11 (XMM, XMM)",0.56
"VMOVUPS_11 (YMM, YMM)",0.56
"VMPSADBW (XMM, XMM, M128, I8)",2.0
"VMPSADBW (XMM, XMM, XMM, I8)",2.0
"VMULPD (XMM, XMM, M128)",0.5
"VMULPD (XMM, XMM, XMM)",0.5
"VMULPD (YMM, YMM, M256)",0.5
"VMULPD (YMM, YMM, YMM)",0.5
"VMULPS (XMM, XMM, M128)",0.5
"VMULPS (XMM, XMM, XMM)",0.5
"VMULPS (YMM, YMM, M256)",0.5
"VMULPS (YMM, YMM, YMM)",0.5
"VMULSD (XMM, XMM, M64)",0.5
"VMULSD (XMM, XMM, XMM)",0.5
"VMULSS (XMM, XMM, M32)",0.5
"VMULSS (XMM, XMM, XMM)",0.5
"VORPD (XMM, XMM, M128)",1.0
"VORPD (XMM, XMM, XMM)",1.0
"VORPD (YMM, YMM, M256)",1.0
"VORPD (YMM, YMM, YMM)",1.0
"VORPS (XMM, XMM, M128)",1.0
"VORPS (XMM, XMM, XMM)",1.0
"VORPS (YMM, YMM, M256)",1.0
"VORPS (YMM, YMM, YMM)",1.0
"VPABSB (XMM, M128)",0.5
"VPABSB (XMM, XMM)",0.5
"VPABSD (XMM, M128)",0.5
"VPABSD (XMM, XMM)",0.5
"VPABSW (XMM, M128)",0.5
"VPABSW (XMM, XMM)",0.5
"VPACKSSDW (XMM, XMM, M128)",1.0
"VPACKSSDW (XMM, XMM, XMM)",1.0
"VPACKSSWB (XMM, XMM, M128)",1.0
"VPACKSSWB (XMM, XMM, XMM)",1.0
"VPACKUSDW (XMM, XMM, M128)",1.0
"VPACKUSDW (XMM, XMM, XMM)",1.0
"VPACKUSWB (XMM, XMM, M128)",1.0
"VPACKUSWB (XMM, XMM, XMM)",1.0
"VPADDB (XMM, XMM, M128)",0.5
"VPADDB (XMM, XMM, XMM)",0.5
"VPADDD (XMM, XMM, M128)",0.5
"VPADDD (XMM, XMM, XMM)",0.5
"VPADDQ (XMM, XMM, M128)",0.5
"VPADDQ (XMM, XMM, XMM)",0.5
"VPADDSB (XMM, XMM, M128)",0.5
"VPADDSB (XMM, XMM, XMM)",0.5
"VPADDSW (XMM, XMM, M128)",0.5
"VPADDSW (XMM, XMM, XMM)",0.5
"VPADDUSB (XMM, XMM, M128)",0.5
"VPADDUSB (XMM, XMM, XMM)",0.5
"VPADDUSW (XMM, XMM, M128)",0.5
"VPADDUSW (XMM, XMM, XMM)",0.5
"VPADDW (XMM, XMM, M128)",0.5
"VPADDW (XMM, XMM, XMM)",0.5
"VPALIGNR (XMM, XMM, M128, I8)",1.0
"VPALIGNR (XMM, XMM, XMM, I8)",1.0
"VPAND (XMM, XMM, M128)",0.5
"VPAND (XMM, XMM, XMM)",0.33
"VPANDN (XMM, XMM, M128)",0.5
"VPANDN (XMM, XMM, XMM)",0.33
"VPAVGB (XMM, XMM, M128)",0.5
"VPAVGB (XMM, XMM, XMM)",0.5
"VPAVGW (XMM, XMM, M128)",0.5
"VPAVGW (XMM, XMM, XMM)",0.5
"VPBLENDVB (XMM, XMM, M128, XMM)",2.0
"VPBLENDVB (XMM, XMM, XMM, XMM)",2.0
"VPBLENDW (XMM, XMM, M128, I8)",1.0
"VPBLENDW (XMM, XMM, XMM, I8)",1.0
"VPCLMULQDQ (XMM, XMM, M128, I8)",2.0
"VPCLMULQDQ (XMM, XMM, XMM, I8)",2.0
"VPCMPEQB (XMM, XMM, M128)",0.5
"VPCMPEQB (XMM, XMM, XMM)",0.5
"VPCMPEQD (XMM, XMM, M128)",0.5
"VPCMPEQD (XMM, XMM, XMM)",0.5
"VPCMPEQQ (XMM, XMM, M128)",0.5
"VPCMPEQQ (XMM, XMM, XMM)",0.5
"VPCMPEQW (XMM, XMM, M128)",0.5
"VPCMPEQW (XMM, XMM, XMM)",0.5
"VPCMPESTRI (XMM, M128, I8)",4.0
"VPCMPESTRI (XMM, XMM, I8)",4.0
"VPCMPESTRI64 (XMM, M128, I8)",4.0
"VPCMPESTRI64 (XMM, XMM, I8)",4.0
"VPCMPESTRM (XMM, M128, I8)",5.0
"VPCMPESTRM (XMM, XMM, I8)",5.0
"VPCMPESTRM64 (XMM, M128, I8)",5.0
"VPCMPESTRM64 (XMM, XMM, I8)",5.0
"VPCMPGTB (XMM, XMM, M128)",0.5
"VPCMPGTB (XMM, XMM, XMM)",0.5
"VPCMPGTD (XMM, XMM, M128)",0.5
"VPCMPGTD (XMM, XMM, XMM)",0.5
"VPCMPGTQ (XMM, XMM, M128)",1.0
"VPCMPGTQ (XMM, XMM, XMM)",1.0
"VPCMPGTW (XMM, XMM, M128)",0.5
"VPCMPGTW (XMM, XMM, XMM)",0.5
"VPCMPISTRI (XMM, M128, I8)",3.0
"VPCMPISTRI (XMM, XMM, I8)",3.0
"VPCMPISTRM (XMM, M128, I8)",3.0
"VPCMPISTRM (XMM, XMM, I8)",3.0
"VPERM2F128 (YMM, YMM, M256, I8)",1.0
"VPERM2F128 (YMM, YMM, YMM, I8)",1.0
"VPERMILPD (XMM, M128, I8)",1.0
"VPERMILPD (XMM, XMM, I8)",1.0
"VPERMILPD (XMM, XMM, M128)",1.0
"VPERMILPD (XMM, XMM, XMM)",1.0
"VPERMILPD (YMM, M256, I8)",1.0
"VPERMILPD (YMM, YMM, I8)",1.0
"VPERMILPD (YMM, YMM, M256)",1.0
"VPERMILPD (YMM, YMM, YMM)",1.0
"VPERMILPS (XMM, M128, I8)",1.0
"VPERMILPS (XMM, XMM, I8)",1.0
"VPERMILPS (XMM, XMM, M128)",1.0
"VPERMILPS (XMM, XMM, XMM)",1.0
"VPERMILPS (YMM, M256, I8)",1.0
"VPERMILPS (YMM, YMM, I8)",1.0
"VPERMILPS (YMM, YMM, M256)",1.0
"VPERMILPS (YMM, YMM, YMM)",1.0
"VPEXTRB (M8, XMM, I8)",1.0
"VPEXTRB (R32, XMM, I8)",1.0
"VPEXTRD (M32, XMM, I8)",1.0
"VPEXTRD (R32, XMM, I8)",1.0
"VPEXTRQ (M64, XMM, I8)",1.0
"VPEXTRQ (R64, XMM, I8)",1.0
"VPEXTRW (M16, XMM, I8)",1.0
"VPEXTRW (R32, XMM, I8)",1.0
"VPHADDD (XMM, XMM, M128)",2.0
"VPHADDD (XMM, XMM, XMM)",2.0
"VPHADDSW (XMM, XMM, M128)",2.0
"VPHADDSW (XMM, XMM, XMM)",2.0
"VPHADDW (XMM, XMM, M128)",2.0
"VPHADDW (XMM, XMM, XMM)",2.0
"VPHMINPOSUW (XMM, M128)",1.0
"VPHMINPOSUW (XMM, XMM)",1.0
"VPHSUBD (XMM, XMM, M128)",2.0
"VPHSUBD (XMM, XMM, XMM)",2.0
"VPHSUBSW (XMM, XMM, M128)",2.0
"VPHSUBSW (XMM, XMM, XMM)",2.0
"VPHSUBW (XMM, XMM, M128)",2.0
"VPHSUBW (XMM, XMM, XMM)",2.0
"VPINSRB (XMM, XMM, M8, I8)",1.0
"VPINSRB (XMM, XMM, R32, I8)",2.0
"VPINSRD (XMM, XMM, M32, I8)",1.0
"VPINSRD (XMM, XMM, R32, I8)",2.0
"VPINSRQ (XMM, XMM, M64, I8)",1.0
"VPINSRQ (XMM, XMM, R64, I8)",2.0
"VPINSRW (XMM, XMM, M16, I8)",1.0
"VPINSRW (XMM, XMM, R32, I8)",2.0
"VPMADDUBSW (XMM, XMM, M128)",1.0
"VPMADDUBSW (XMM, XMM, XMM)",1.0
"VPMADDWD (XMM, XMM, M128)",1.0
"VPMADDWD (XMM, XMM, XMM)",1.0
"VPMAXSB (XMM, XMM, M128)",0.5
"VPMAXSB (XMM, XMM, XMM)",0.5
"VPMAXSD (XMM, XMM, M128)",0.5
"VPMAXSD (XMM, XMM, XMM)",0.5
"VPMAXSW (XMM, XMM, M128)",0.5
"VPMAXSW (XMM, XMM, XMM)",0.5
"VPMAXUB (XMM, XMM, M128)",0.5
"VPMAXUB (XMM, XMM, XMM)",0.5
"VPMAXUD (XMM, XMM, M128)",0.5
"VPMAXUD (XMM, XMM, XMM)",0.5
"VPMAXUW (XMM, XMM, M128)",0.5
"VPMAXUW (XMM, XMM, XMM)",0.5
"VPMINSB (XMM, XMM, M128)",0.5
"VPMINSB (XMM, XMM, XMM)",0.5
"VPMINSD (XMM, XMM, M128)",0.5
"VPMINSD (XMM, XMM, XMM)",0.5
"VPMINSW (XMM, XMM, M128)",0.5
"VPMINSW (XMM, XMM, XMM)",0.5
"VPMINUB (XMM, XMM, M128)",0.5
"VPMINUB (XMM, XMM, XMM)",0.5
"VPMINUD (XMM, XMM, M128)",0.5
"VPMINUD (XMM, XMM, XMM)",0.5
"VPMINUW (XMM, XMM, M128)",0.5
"VPMINUW (XMM, XMM, XMM)",0.5
"VPMOVMSKB (R32, XMM)",1.0
"VPMOVSXBD (XMM, M32)",1.0
"VPMOVSXBD (XMM, XMM)",1.0
"VPMOVSXBQ (XMM, M16)",1.0
"VPMOVSXBQ (XMM, XMM)",1.0
"VPMOVSXBW (XMM, M64)",1.0
"VPMOVSXBW (XMM, XMM)",1.0
"VPMOVSXDQ (XMM, M64)",1.0
"VPMOVSXDQ (XMM, XMM)",1.0
"VPMOVSXWD (XMM, M64)",1.0
"VPMOVSXWD (XMM, XMM)",1.0
"VPMOVSXWQ (XMM, M32)",1.0
"VPMOVSXWQ (XMM, XMM)",1.0
"VPMOVZXBD (XMM, M32)",1.0
"VPMOVZXBD (XMM, XMM)",1.0
"VPMOVZXBQ (XMM, M16)",1.0
"VPMOVZXBQ (XMM, XMM)",1.0
"VPMOVZXBW (XMM, M64)",1.0
"VPMOVZXBW (XMM, XMM)",1.0
"VPMOVZXDQ (XMM, M64)",1.0
"VPMOVZXDQ (XMM, XMM)",1.0
