Instruction,tp
"VPMOVZXWD (XMM, M64)",1.0
"VPMOVZXWD (XMM, XMM)",1.0
"VPMOVZXWQ (XMM, M32)",1.0
"VPMOVZXWQ (XMM, XMM)",1.0
"VPMULDQ (XMM, XMM, M128)",1.0
"VPMULDQ (XMM, XMM, XMM)",1.0
"VPMULHRSW (XMM, XMM, M128)",1.0
"VPMULHRSW (XMM, XMM, XMM)",1.0
"VPMULHUW (XMM, XMM, M128)",1.0
"VPMULHUW (XMM, XMM, XMM)",1.0
"VPMULHW (XMM, XMM, M128)",1.0
"VPMULHW (XMM, XMM, XMM)",1.0
"VPMULLD (XMM, XMM, M128)",2.0
"VPMULLD (XMM, XMM, XMM)",2.0
"VPMULLW (XMM, XMM, M128)",1.0
"VPMULLW (XMM, XMM, XMM)",1.0
"VPMULUDQ (XMM, XMM, M128)",1.0
"VPMULUDQ (XMM, XMM, XMM)",1.0
"VPOR (XMM, XMM, M128)",0.5
"VPOR (XMM, XMM, XMM)",0.33
"VPSADBW (XMM, XMM, M128)",1.0
"VPSADBW (XMM, XMM, XMM)",1.0
"VPSHUFB (XMM, XMM, M128)",1.0
"VPSHUFB (XMM, XMM, XMM)",1.0
"VPSHUFD (XMM, M128, I8)",1.0
"VPSHUFD (XMM, XMM, I8)",1.0
"VPSHUFHW (XMM, M128, I8)",1.0
"VPSHUFHW (XMM, XMM, I8)",1.0
"VPSHUFLW (XMM, M128, I8)",1.0
"VPSHUFLW (XMM, XMM, I8)",1.0
"VPSIGNB (XMM, XMM, M128)",0.5
"VPSIGNB (XMM, XMM, XMM)",0.5
"VPSIGND (XMM, XMM, M128)",0.5
"VPSIGND (XMM, XMM, XMM)",0.5
"VPSIGNW (XMM, XMM, M128)",0.5
"VPSIGNW (XMM, XMM, XMM)",0.5
"VPSLLD (XMM, XMM, I8)",1.0
"VPSLLD (XMM, XMM, M128)",1.0
"VPSLLD (XMM, XMM, XMM)",1.0
"VPSLLDQ (XMM, XMM, I8)",1.0
"VPSLLQ (XMM, XMM, I8)",1.0
"VPSLLQ (XMM, XMM, M128)",1.0
"VPSLLQ (XMM, XMM, XMM)",1.0
"VPSLLW (XMM, XMM, I8)",1.0
"VPSLLW (XMM, XMM, M128)",1.0
"VPSLLW (XMM, XMM, XMM)",1.0
"VPSRAD (XMM, XMM, I8)",1.0
"VPSRAD (XMM, XMM, M128)",1.0
"VPSRAD (XMM, XMM, XMM)",1.0
"VPSRAW (XMM, XMM, I8)",1.0
"VPSRAW (XMM, XMM, M128)",1.0
"VPSRAW (XMM, XMM, XMM)",1.0
"VPSRLD (XMM, XMM, I8)",1.0
"VPSRLD (XMM, XMM, M128)",1.0
"VPSRLD (XMM, XMM, XMM)",1.0
"VPSRLDQ (XMM, XMM, I8)",1.0
"VPSRLQ (XMM, XMM, I8)",1.0
"VPSRLQ (XMM, XMM, M128)",1.0
"VPSRLQ (XMM, XMM, XMM)",1.0
"VPSRLW (XMM, XMM, I8)",1.0
"VPSRLW (XMM, XMM, M128)",1.0
"VPSRLW (XMM, XMM, XMM)",1.0
"VPSUBB (XMM, XMM, M128)",0.5
"VPSUBB (XMM, XMM, XMM)",0.5
"VPSUBD (XMM, XMM, M128)",0.5
"VPSUBD (XMM, XMM, XMM)",0.5
"VPSUBQ (XMM, XMM, M128)",0.5
"VPSUBQ (XMM, XMM, XMM)",0.5
"VPSUBSB (XMM, XMM, M128)",0.5
"VPSUBSB (XMM, XMM, XMM)",0.5
"VPSUBSW (XMM, XMM, M128)",0.5
"VPSUBSW (XMM, XMM, XMM)",0.5
"VPSUBUSB (XMM, XMM, M128)",0.5
"VPSUBUSB (XMM, XMM, XMM)",0.5
"VPSUBUSW (XMM, XMM, M128)",0.5
"VPSUBUSW (XMM, XMM, XMM)",0.5
"VPSUBW (XMM, XMM, M128)",0.5
"VPSUBW (XMM, XMM, XMM)",0.5
"VPTEST (XMM, M128)",1.0
"VPTEST (XMM, XMM)",1.0
"VPTEST (YMM, M256)",1.0
"VPTEST (YMM, YMM)",1.0
"VPUNPCKHBW (XMM, XMM, M128)",1.0
"VPUNPCKHBW (XMM, XMM, XMM)",1.0
"VPUNPCKHDQ (XMM, XMM, M128)",1.0
"VPUNPCKHDQ (XMM, XMM, XMM)",1.0
"VPUNPCKHQDQ (XMM, XMM, M128)",1.0
"VPUNPCKHQDQ (XMM, XMM, XMM)",1.0
"VPUNPCKHWD (XMM, XMM, M128)",1.0
"VPUNPCKHWD (XMM, XMM, XMM)",1.0
"VPUNPCKLBW (XMM, XMM, M128)",1.0
"VPUNPCKLBW (XMM, XMM, XMM)",1.0
"VPUNPCKLDQ (XMM, XMM, M128)",1.0
"VPUNPCKLDQ (XMM, XMM, XMM)",1.0
"VPUNPCKLQDQ (XMM, XMM, M128)",1.0
"VPUNPCKLQDQ (XMM, XMM, XMM)",1.0
"VPUNPCKLWD (XMM, XMM, M128)",1.0
"VPUNPCKLWD (XMM, XMM, XMM)",1.0
"VPXOR (XMM, XMM, M128)",0.5
"VPXOR (XMM, XMM, XMM)",0.33
"VRCPPS (XMM, M128)",1.0
"VRCPPS (XMM, XMM)",1.0
"VRCPPS (YMM, M256)",2.0
"VRCPPS (YMM, YMM)",2.0
"VRCPSS (XMM, XMM, M32)",1.0
"VRCPSS (XMM, XMM, XMM)",1.0
"VROUNDPD (XMM, M128, I8)",2.0
"VROUNDPD (XMM, XMM, I8)",2.0
"VROUNDPD (YMM, M256, I8)",2.0
"VROUNDPD (YMM, YMM, I8)",2.0
"VROUNDPS (XMM, M128, I8)",2.0
"VROUNDPS (XMM, XMM, I8)",2.0
"VROUNDPS (YMM, M256, I8)",2.0
"VROUNDPS (YMM, YMM, I8)",2.0
"VROUNDSD (XMM, XMM, M64, I8)",2.0
"VROUNDSD (XMM, XMM, XMM, I8)",2.0
"VROUNDSS (XMM, XMM, M32, I8)",2.0
"VROUNDSS (XMM, XMM, XMM, I8)",2.0
"VRSQRTPS (XMM, M128)",1.0
"VRSQRTPS (XMM, XMM)",1.0
"VRSQRTPS (YMM, M256)",2.0
"VRSQRTPS (YMM, YMM)",2.0
"VRSQRTSS (XMM, XMM, M32)",1.0
"VRSQRTSS (XMM, XMM, XMM)",1.0
"VSHUFPD (XMM, XMM, M128, I8)",1.0
"VSHUFPD (XMM, XMM, XMM, I8)",1.0
"VSHUFPD (YMM, YMM, M256, I8)",1.0
"VSHUFPD (YMM, YMM, YMM, I8)",1.0
"VSHUFPS (XMM, XMM, M128, I8)",1.0
"VSHUFPS (XMM, XMM, XMM, I8)",1.0
"VSHUFPS (YMM, YMM, M256, I8)",1.0
"VSHUFPS (YMM, YMM, YMM, I8)",1.0
"VSQRTPD (XMM, M128)",8.0
"VSQRTPD (XMM, XMM)",8.02
"VSQRTPD (YMM, M256)",16.3
"VSQRTPD (YMM, YMM)",16.12
"VSQRTPS (XMM, M128)",7.0
"VSQRTPS (XMM, XMM)",7.03
"VSQRTPS (YMM, M256)",14.11
"VSQRTPS (YMM, YMM)",14.0
"VSQRTSD (XMM, XMM, M64)",8.0
"VSQRTSD (XMM, XMM, XMM)",8.02
"VSQRTSS (XMM, XMM, M32)",7.0
"VSQRTSS (XMM, XMM, XMM)",7.03
VSTMXCSR (M32),1.0
"VSUBPD (XMM, XMM, M128)",1.0
"VSUBPD (XMM, XMM, XMM)",1.0
"VSUBPD (YMM, YMM, M256)",1.0
"VSUBPD (YMM, YMM, YMM)",1.0
"VSUBPS (XMM, XMM, M128)",1.0
"VSUBPS (XMM, XMM, XMM)",1.0
"VSUBPS (YMM, YMM, M256)",1.0
"VSUBPS (YMM, YMM, YMM)",1.0
"VSUBSD (XMM, XMM, M64)",1.0
"VSUBSD (XMM, XMM, XMM)",1.0
"VSUBSS (XMM, XMM, M32)",1.0
"VSUBSS (XMM, XMM, XMM)",1.0
"VTESTPD (XMM, M128)",1.0
"VTESTPD (XMM, XMM)",1.0
"VTESTPD (YMM, M256)",1.0
"VTESTPD (YMM, YMM)",1.0
"VTESTPS (XMM, M128)",1.0
"VTESTPS (XMM, XMM)",1.0
"VTESTPS (YMM, M256)",1.0
"VTESTPS (YMM, YMM)",1.0
"VUCOMISD (XMM, M64)",1.0
"VUCOMISD (XMM, XMM)",1.0
"VUCOMISS (XMM, M32)",1.0
"VUCOMISS (XMM, XMM)",1.0
"VUNPCKHPD (XMM, XMM, M128)",1.0
"VUNPCKHPD (XMM, XMM, XMM)",1.0
"VUNPCKHPD (YMM, YMM, M256)",1.0
"VUNPCKHPD (YMM, YMM, YMM)",1.0
"VUNPCKHPS (XMM, XMM, M128)",1.0
"VUNPCKHPS (XMM, XMM, XMM)",1.0
"VUNPCKHPS (YMM, YMM, M256)",1.0
"VUNPCKHPS (YMM, YMM, YMM)",1.0
"VUNPCKLPD (XMM, XMM, M128)",1.0
"VUNPCKLPD (XMM, XMM, XMM)",1.0
"VUNPCKLPD (YMM, YMM, M256)",1.0
"VUNPCKLPD (YMM, YMM, YMM)",1.0
"VUNPCKLPS (XMM, XMM, M128)",1.0
"VUNPCKLPS (XMM, XMM, XMM)",1.0
"VUNPCKLPS (YMM, YMM, M256)",1.0
"VUNPCKLPS (YMM, YMM, YMM)",1.0
"VXORPD (XMM, XMM, M128)",1.0
"VXORPD (XMM, XMM, XMM)",1.0
"VXORPD (YMM, YMM, M256)",1.0
"VXORPD (YMM, YMM, YMM)",1.0
"VXORPS (XMM, XMM, M128)",1.0
"VXORPS (XMM, XMM, XMM)",1.0
"VXORPS (YMM, YMM, M256)",1.0
"VXORPS (YMM, YMM, YMM)",1.0
VZEROALL,8.0
VZEROUPPER,1.0
"VBROADCASTI128 (YMM, M128)",0.5
"VBROADCASTSD (YMM, XMM)",1.0
"VBROADCASTSS (XMM, XMM)",1.0
"VBROADCASTSS (YMM, XMM)",1.0
"VEXTRACTI128 (M128, YMM, I8)",1.0
"VEXTRACTI128 (XMM, YMM, I8)",1.0
"VINSERTI128 (YMM, YMM, M128, I8)",0.5
"VINSERTI128 (YMM, YMM, XMM, I8)",1.0
"VMOVNTDQA (YMM, M256)",0.5
"VMPSADBW (YMM, YMM, M256, I8)",2.0
"VMPSADBW (YMM, YMM, YMM, I8)",2.0
"VPABSB (YMM, M256)",0.5
"VPABSB (YMM, YMM)",0.5
"VPABSD (YMM, M256)",0.5
"VPABSD (YMM, YMM)",0.5
"VPABSW (YMM, M256)",0.5
"VPABSW (YMM, YMM)",0.5
"VPACKSSDW (YMM, YMM, M256)",1.0
"VPACKSSDW (YMM, YMM, YMM)",1.0
"VPACKSSWB (YMM, YMM, M256)",1.0
"VPACKSSWB (YMM, YMM, YMM)",1.0
"VPACKUSDW (YMM, YMM, M256)",1.0
"VPACKUSDW (YMM, YMM, YMM)",1.0
"VPACKUSWB (YMM, YMM, M256)",1.0
"VPACKUSWB (YMM, YMM, YMM)",1.0
"VPADDB (YMM, YMM, M256)",0.5
"VPADDB (YMM, YMM, YMM)",0.5
"VPADDD (YMM, YMM, M256)",0.5
"VPADDD (YMM, YMM, YMM)",0.5
"VPADDQ (YMM, YMM, M256)",0.5
"VPADDQ (YMM, YMM, YMM)",0.5
"VPADDSB (YMM, YMM, M256)",0.5
"VPADDSB (YMM, YMM, YMM)",0.5
"VPADDSW (YMM, YMM, M256)",0.5
"VPADDSW (YMM, YMM, YMM)",0.5
"VPADDUSB (YMM, YMM, M256)",0.5
"VPADDUSB (YMM, YMM, YMM)",0.5
"VPADDUSW (YMM, YMM, M256)",0.5
"VPADDUSW (YMM, YMM, YMM)",0.5
"VPADDW (YMM, YMM, M256)",0.5
"VPADDW (YMM, YMM, YMM)",0.5
"VPALIGNR (YMM, YMM, M256, I8)",1.0
"VPALIGNR (YMM, YMM, YMM, I8)",1.0
"VPAND (YMM, YMM, M256)",0.5
"VPAND (YMM, YMM, YMM)",0.33
"VPANDN (YMM, YMM, M256)",0.5
"VPANDN (YMM, YMM, YMM)",0.33
"VPAVGB (YMM, YMM, M256)",0.5
"VPAVGB (YMM, YMM, YMM)",0.5
"VPAVGW (YMM, YMM, M256)",0.5
"VPAVGW (YMM, YMM, YMM)",0.5
"VPBLENDD (XMM, XMM, M128, I8)",0.5
"VPBLENDD (XMM, XMM, XMM, I8)",0.33
"VPBLENDD (YMM, YMM, M256, I8)",0.5
"VPBLENDD (YMM, YMM, YMM, I8)",0.33
"VPBLENDVB (YMM, YMM, M256, YMM)",2.0
"VPBLENDVB (YMM, YMM, YMM, YMM)",2.0
"VPBLENDW (YMM, YMM, M256, I8)",1.0
"VPBLENDW (YMM, YMM, YMM, I8)",1.0
"VPBROADCASTB (XMM, M8)",1.0
"VPBROADCASTB (XMM, XMM)",1.0
"VPBROADCASTB (YMM, M8)",1.0
"VPBROADCASTB (YMM, XMM)",1.0
"VPBROADCASTD (XMM, M32)",0.5
"VPBROADCASTD (XMM, XMM)",1.0
"VPBROADCASTD (YMM, M32)",0.5
"VPBROADCASTD (YMM, XMM)",1.0
"VPBROADCASTQ (XMM, M64)",0.5
"VPBROADCASTQ (XMM, XMM)",1.0
"VPBROADCASTQ (YMM, M64)",0.5
"VPBROADCASTQ (YMM, XMM)",1.0
"VPBROADCASTW (XMM, M16)",1.0
"VPBROADCASTW (XMM, XMM)",1.0
"VPBROADCASTW (YMM, M16)",1.0
"VPBROADCASTW (YMM, XMM)",1.0
"VPCMPEQB (YMM, YMM, M256)",0.5
"VPCMPEQB (YMM, YMM, YMM)",0.5
"VPCMPEQD (YMM, YMM, M256)",0.5
"VPCMPEQD (YMM, YMM, YMM)",0.5
"VPCMPEQQ (YMM, YMM, M256)",0.5
"VPCMPEQQ (YMM, YMM, YMM)",0.5
"VPCMPEQW (YMM, YMM, M256)",0.5
"VPCMPEQW (YMM, YMM, YMM)",0.5
"VPCMPGTB (YMM, YMM, M256)",0.5
"VPCMPGTB (YMM, YMM, YMM)",0.5
"VPCMPGTD (YMM, YMM, M256)",0.5
"VPCMPGTD (YMM, YMM, YMM)",0.5
"VPCMPGTQ (YMM, YMM, M256)",1.0
"VPCMPGTQ (YMM, YMM, YMM)",1.0
"VPCMPGTW (YMM, YMM, M256)",0.5
"VPCMPGTW (YMM, YMM, YMM)",0.5
"VPERM2I128 (YMM, YMM, M256, I8)",1.0
"VPERM2I128 (YMM, YMM, YMM, I8)",1.0
"VPERMD (YMM, YMM, M256)",1.0
"VPERMD (YMM, YMM, YMM)",1.0
"VPERMPD (YMM, M256, I8)",1.0
"VPERMPD (YMM, YMM, I8)",1.0
"VPERMPS (YMM, YMM, M256)",1.0
"VPERMPS (YMM, YMM, YMM)",1.0
"VPERMQ (YMM, M256, I8)",1.0
"VPERMQ (YMM, YMM, I8)",1.0
"VPHADDD (YMM, YMM, M256)",2.0
"VPHADDD (YMM, YMM, YMM)",2.0
"VPHADDSW (YMM, YMM, M256)",2.0
"VPHADDSW (YMM, YMM, YMM)",2.0
"VPHADDW (YMM, YMM, M256)",2.0
"VPHADDW (YMM, YMM, YMM)",2.0
"VPHSUBD (YMM, YMM, M256)",2.0
"VPHSUBD (YMM, YMM, YMM)",2.0
"VPHSUBSW (YMM, YMM, M256)",2.0
"VPHSUBSW (YMM, YMM, YMM)",2.0
"VPHSUBW (YMM, YMM, M256)",2.0
"VPHSUBW (YMM, YMM, YMM)",2.0
"VPMADDUBSW (YMM, YMM, M256)",1.0
"VPMADDUBSW (YMM, YMM, YMM)",1.0
"VPMADDWD (YMM, YMM, M256)",1.0
"VPMADDWD (YMM, YMM, YMM)",1.0
"VPMASKMOVD (M128, XMM, XMM)",1.0
"VPMASKMOVD (M256, YMM, YMM)",1.0
"VPMASKMOVD (XMM, XMM, M128)",2.0
"VPMASKMOVD (YMM, YMM, M256)",2.0
"VPMASKMOVQ (M128, XMM, XMM)",1.0
"VPMASKMOVQ (M256, YMM, YMM)",1.0
"VPMASKMOVQ (XMM, XMM, M128)",2.0
"VPMASKMOVQ (YMM, YMM, M256)",2.0
"VPMAXSB (YMM, YMM, M256)",0.5
"VPMAXSB (YMM, YMM, YMM)",0.5
"VPMAXSD (YMM, YMM, M256)",0.5
"VPMAXSD (YMM, YMM, YMM)",0.5
"VPMAXSW (YMM, YMM, M256)",0.5
"VPMAXSW (YMM, YMM, YMM)",0.5
"VPMAXUB (YMM, YMM, M256)",0.5
"VPMAXUB (YMM, YMM, YMM)",0.5
"VPMAXUD (YMM, YMM, M256)",0.5
"VPMAXUD (YMM, YMM, YMM)",0.5
"VPMAXUW (YMM, YMM, M256)",0.5
"VPMAXUW (YMM, YMM, YMM)",0.5
"VPMINSB (YMM, YMM, M256)",0.5
"VPMINSB (YMM, YMM, YMM)",0.5
"VPMINSD (YMM, YMM, M256)",0.5
"VPMINSD (YMM, YMM, YMM)",0.5
"VPMINSW (YMM, YMM, M256)",0.5
"VPMINSW (YMM, YMM, YMM)",0.5
"VPMINUB (YMM, YMM, M256)",0.5
"VPMINUB (YMM, YMM, YMM)",0.5
"VPMINUD (YMM, YMM, M256)",0.5
"VPMINUD (YMM, YMM, YMM)",0.5
"VPMINUW (YMM, YMM, M256)",0.5
"VPMINUW (YMM, YMM, YMM)",0.5
"VPMOVMSKB (R32, YMM)",1.0
"VPMOVSXBD (YMM, M64)",1.0
"VPMOVSXBD (YMM, XMM)",1.0
"VPMOVSXBQ (YMM, M32)",1.0
"VPMOVSXBQ (YMM, XMM)",1.0
"VPMOVSXBW (YMM, M128)",1.0
"VPMOVSXBW (YMM, XMM)",1.0
"VPMOVSXDQ (YMM, M128)",1.0
"VPMOVSXDQ (YMM, XMM)",1.0
"VPMOVSXWD (YMM, M128)",1.0
"VPMOVSXWD (YMM, XMM)",1.0
"VPMOVSXWQ (YMM, M64)",1.0
"VPMOVSXWQ (YMM, XMM)",1.0
"VPMOVZXBD (YMM, M64)",1.0
"VPMOVZXBD (YMM, XMM)",1.0
"VPMOVZXBQ (YMM, M32)",1.0
"VPMOVZXBQ (YMM, XMM)",1.0
"VPMOVZXBW (YMM, M128)",1.0
"VPMOVZXBW (YMM, XMM)",1.0
"VPMOVZXDQ (YMM, M128)",1.0
"VPMOVZXDQ (YMM, XMM)",1.0
"VPMOVZXWD (YMM, M128)",1.0
"VPMOVZXWD (YMM, XMM)",1.0
"VPMOVZXWQ (YMM, M64)",1.0
"VPMOVZXWQ (YMM, XMM)",1.0
"VPMULDQ (YMM, YMM, M256)",1.0
"VPMULDQ (YMM, YMM, YMM)",1.0
"VPMULHRSW (YMM, YMM, M256)",1.0
"VPMULHRSW (YMM, YMM, YMM)",1.0
"VPMULHUW (YMM, YMM, M256)",1.0
"VPMULHUW (YMM, YMM, YMM)",1.0
"VPMULHW (YMM, YMM, M256)",1.0
"VPMULHW (YMM, YMM, YMM)",1.0
"VPMULLD (YMM, YMM, M256)",2.0
"VPMULLD (YMM, YMM, YMM)",2.0
"VPMULLW (YMM, YMM, M256)",1.0
"VPMULLW (YMM, YMM, YMM)",1.0
"VPMULUDQ (YMM, YMM, M256)",1.0
"VPMULUDQ (YMM, YMM, YMM)",1.0
"VPOR (YMM, YMM, M256)",0.5
"VPOR (YMM, YMM, YMM)",0.33
"VPSADBW (YMM, YMM, M256)",1.0
"VPSADBW (YMM, YMM, YMM)",1.0
"VPSHUFB (YMM, YMM, M256)",1.0
"VPSHUFB (YMM, YMM, YMM)",1.0
"VPSHUFD (YMM, M256, I8)",1.0
"VPSHUFD (YMM, YMM, I8)",1.0
"VPSHUFHW (YMM, M256, I8)",1.0
"VPSHUFHW (YMM, YMM, I8)",1.0
"VPSHUFLW (YMM, M256, I8)",1.0
"VPSHUFLW (YMM, YMM, I8)",1.0
"VPSIGNB (YMM, YMM, M256)",0.5
"VPSIGNB (YMM, YMM, YMM)",0.5
"VPSIGND (YMM, YMM, M256)",0.5
"VPSIGND (YMM, YMM, YMM)",0.5
"VPSIGNW (YMM, YMM, M256)",0.5
"VPSIGNW (YMM, YMM, YMM)",0.5
"VPSLLD (YMM, YMM, I8)",1.0
"VPSLLD (YMM, YMM, M128)",1.0
"VPSLLD (YMM, YMM, XMM)",1.0
"VPSLLDQ (YMM, YMM, I8)",1.0
"VPSLLQ (YMM, YMM, I8)",1.0
"VPSLLQ (YMM, YMM, M128)",1.0
"VPSLLQ (YMM, YMM, XMM)",1.0
"VPSLLVD (XMM, XMM, M128)",2.0
"VPSLLVD (XMM, XMM, XMM)",2.0
"VPSLLVD (YMM, YMM, M256)",2.0
"VPSLLVD (YMM, YMM, YMM)",2.0
"VPSLLVQ (XMM, XMM, M128)",1.0
"VPSLLVQ (XMM, XMM, XMM)",1.0
"VPSLLVQ (YMM, YMM, M256)",1.0
"VPSLLVQ (YMM, YMM, YMM)",1.0
"VPSLLW (YMM, YMM, I8)",1.0
"VPSLLW (YMM, YMM, M128)",1.0
"VPSLLW (YMM, YMM, XMM)",1.0
"VPSRAD (YMM, YMM, I8)",1.0
"VPSRAD (YMM, YMM, M128)",1.0
"VPSRAD (YMM, YMM, XMM)",1.0
"VPSRAVD (XMM, XMM, M128)",2.0
"VPSRAVD (XMM, XMM, XMM)",2.0
"VPSRAVD (YMM, YMM, M256)",2.0
"VPSRAVD (YMM, YMM, YMM)",2.0
"VPSRAW (YMM, YMM, I8)",1.0
"VPSRAW (YMM, YMM, M128)",1.0
"VPSRAW (YMM, YMM, XMM)",1.0
"VPSRLD (YMM, YMM, I8)",1.0
"VPSRLD (YMM, YMM, M128)",1.0
"VPSRLD (YMM, YMM, XMM)",1.0
"VPSRLDQ (YMM, YMM, I8)",1.0
"VPSRLQ (YMM, YMM, I8)",1.0
"VPSRLQ (YMM, YMM, M128)",1.0
"VPSRLQ (YMM, YMM, XMM)",1.0
"VPSRLVD (XMM, XMM, M128)",2.0
"VPSRLVD (XMM, XMM, XMM)",2.0
"VPSRLVD (YMM, YMM, M256)",2.0
"VPSRLVD (YMM, YMM, YMM)",2.0
"VPSRLVQ (XMM, XMM, M128)",1.0
"VPSRLVQ (XMM, XMM, XMM)",1.0
"VPSRLVQ (YMM, YMM, M256)",1.0
"VPSRLVQ (YMM, YMM, YMM)",1.0
"VPSRLW (YMM, YMM, I8)",1.0
"VPSRLW (YMM, YMM, M128)",1.0
"VPSRLW (YMM, YMM, XMM)",1.0
"VPSUBB (YMM, YMM, M256)",0.5
"VPSUBB (YMM, YMM, YMM)",0.5
"VPSUBD (YMM, YMM, M256)",0.5
"VPSUBD (YMM, YMM, YMM)",0.5
"VPSUBQ (YMM, YMM, M256)",0.5
"VPSUBQ (YMM, YMM, YMM)",0.5
"VPSUBSB (YMM, YMM, M256)",0.5
"VPSUBSB (YMM, YMM, YMM)",0.5
"VPSUBSW (YMM, YMM, M256)",0.5
"VPSUBSW (YMM, YMM, YMM)",0.5
"VPSUBUSB (YMM, YMM, M256)",0.5
"VPSUBUSB (YMM, YMM, YMM)",0.5
"VPSUBUSW (YMM, YMM, M256)",0.5
"VPSUBUSW (YMM, YMM, YMM)",0.5
"VPSUBW (YMM, YMM, M256)",0.5
"VPSUBW (YMM, YMM, YMM)",0.5
"VPUNPCKHBW (YMM, YMM, M256)",1.0
"VPUNPCKHBW (YMM, YMM, YMM)",1.0
"VPUNPCKHDQ (YMM, YMM, M256)",1.0
"VPUNPCKHDQ (YMM, YMM, YMM)",1.0
"VPUNPCKHQDQ (YMM, YMM, M256)",1.0
"VPUNPCKHQDQ (YMM, YMM, YMM)",1.0
"VPUNPCKHWD (YMM, YMM, M256)",1.0
"VPUNPCKHWD (YMM, YMM, YMM)",1.0
"VPUNPCKLBW (YMM, YMM, M256)",1.0
"VPUNPCKLBW (YMM, YMM, YMM)",1.0
"VPUNPCKLDQ (YMM, YMM, M256)",1.0
"VPUNPCKLDQ (YMM, YMM, YMM)",1.0
"VPUNPCKLQDQ (YMM, YMM, M256)",1.0
"VPUNPCKLQDQ (YMM, YMM, YMM)",1.0
"VPUNPCKLWD (YMM, YMM, M256)",1.0
"VPUNPCKLWD (YMM, YMM, YMM)",1.0
"VPXOR (YMM, YMM, M256)",0.5
"VPXOR (YMM, YMM, YMM)",0.33
"VGATHERDPD (XMM, VSIB_XMM, XMM)",6.0
"VGATHERDPD (YMM, VSIB_XMM, YMM)",8.0
"VGATHERDPS (XMM, VSIB_XMM, XMM)",8.0
"VGATHERDPS (YMM, VSIB_YMM, YMM)",11.0
"VGATHERQPD (XMM, VSIB_XMM, XMM)",6.0
"VGATHERQPD (YMM, VSIB_YMM, YMM)",8.0
"VGATHERQPS (XMM, VSIB_XMM, XMM)",7.0
"VGATHERQPS (XMM, VSIB_YMM, XMM)",8.0
"VPGATHERDD (XMM, VSIB_XMM, XMM)",8.0
"VPGATHERDD (YMM, VSIB_YMM, YMM)",11.0
"VPGATHERDQ (XMM, VSIB_XMM, XMM)",6.0
"VPGATHERDQ (YMM, VSIB_XMM, YMM)",8.0
"VPGATHERQD (XMM, VSIB_XMM, XMM)",7.0
"VPGATHERQD (XMM, VSIB_YMM, XMM)",8.0
"VPGATHERQQ (XMM, VSIB_XMM, XMM)",6.0
"VPGATHERQQ (YMM, VSIB_YMM, YMM)",8.0
"VAESDEC (XMM, XMM, M128)",1.0
"VAESDEC (XMM, XMM, XMM)",1.0
"VAESDECLAST (XMM, XMM, M128)",1.0
"VAESDECLAST (XMM, XMM, XMM)",1.0
"VAESENC (XMM, XMM, M128)",1.0
"VAESENC (XMM, XMM, XMM)",1.0
"VAESENCLAST (XMM, XMM, M128)",1.0
"VAESENCLAST (XMM, XMM, XMM)",1.0
"VAESIMC (XMM, M128)",2.0
